username,url,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10
subtlebeauty__,https://www.tiktok.com/@subtlebeauty__,201,639,164,155,457,188,497,516,529,267
jodibbeauty,https://www.tiktok.com/@jodibbeauty,1172,464600,654,756,457,1102,689,5591,771,432
ashleynicolequiroz,https://www.tiktok.com/@ashleynicolequiroz,3200000,2200000,5400000,7317,12800,22000,23800,26900,20000,14900
thebridgelee,https://www.tiktok.com/@thebridgelee,9381,69600,32800,14100,13100,54700,16200,22400,53600,9015
3wishescosmetics,https://www.tiktok.com/@3wishescosmetics,31600,30400,483,232,230,774,160,374,430,916
drteowanlin,https://www.tiktok.com/@drteowanlin,777800,7759,11800,2616,541,595,7448,8823,709,835
danielledomrose,https://www.tiktok.com/@danielledomrose,9113,798100,80400,521,782,440,5801,480,26700,1411
yeye1021_,https://www.tiktok.com/@yeye1021_,405,289,356,294,314,295,460,394,376,380
lexlynna,https://www.tiktok.com/@lexlynna,1200000,163600,1514,5406,1055,8391,855600,2752,1889,2869
223_brooke,https://www.tiktok.com/@223_brooke,322,225,378,1275,279,644,6438,512,729,777
thatonechick33,https://www.tiktok.com/@thatonechick33,157,295,199,160,1929,252,1856,481,435,493
samsched,https://www.tiktok.com/@samsched,405500,541200,2100000,76500,54200,252300,52600,36200,41300,22000
michaelascott20,https://www.tiktok.com/@michaelascott20,1849,1350,2626,8167,3754,24700,2456,3929,4165,1957
loummartines,https://www.tiktok.com/@loummartines,146400,324500,1500000,235,1958,3216,6825,20600,2636,3074
nicolekanev,https://www.tiktok.com/@nicolekanev,5172,649,365,474,1446,958,782,6050,946,1003
iamcelys,https://www.tiktok.com/@iamcelys,4300000,113200,314900,435900,63500,123300,234000,216500,102900,76200
adoredbabynames,https://www.tiktok.com/@adoredbabynames,3569,15200,3983,3376,9669,18900,20800,10500,25000,19700
hairbykendyyy,https://www.tiktok.com/@hairbykendyyy,2200000,677,479,689,3961,1851,16300,9478,1075,692
